[Sun Jun 02 13:28:01.327734 2019] [php7:notice] [pid 1315] [client 127.0.0.1:36510] PHP Warning:  POST Content-Length of 17816504 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[Sun Jun 02 13:28:11.656187 2019] [php7:notice] [pid 5738] [client 127.0.0.1:36514] PHP Warning:  POST Content-Length of 17816504 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[Sun Jun 02 14:19:25.603085 2019] [php7:notice] [pid 1311] [client 127.0.0.1:36836] PHP Warning:  POST Content-Length of 17816504 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[Sun Jun 02 14:20:06.310921 2019] [php7:notice] [pid 1313] [client 127.0.0.1:36854] PHP Warning:  POST Content-Length of 17816504 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[Sun Jun 02 14:20:53.904625 2019] [php7:notice] [pid 1312] [client 127.0.0.1:36862] PHP Warning:  POST Content-Length of 17816504 bytes exceeds the limit of 8388608 bytes in Unknown on line 0
[Mon Jun 03 00:44:47.755276 2019] [php7:notice] [pid 1313] [client 127.0.0.1:40800] PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0
[Mon Jun 03 00:45:18.755293 2019] [php7:notice] [pid 1314] [client 127.0.0.1:40820] PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0
[Mon Jun 03 00:46:29.045423 2019] [php7:notice] [pid 1312] [client 127.0.0.1:40840] PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0
[Mon Jun 03 00:49:09.698863 2019] [php7:notice] [pid 1311] [client 127.0.0.1:40932] PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0
[Mon Jun 03 01:14:47.651052 2019] [php7:warn] [pid 1848] [client 127.0.0.1:52538] PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0
[Mon Jun 03 01:16:18.791847 2019] [php7:warn] [pid 1849] [client 127.0.0.1:52558] PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0
[Mon Jun 03 01:16:53.119848 2019] [php7:warn] [pid 1852] [client 127.0.0.1:52568] PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0
